tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated
1336732652532064261,RT @SmithHelmut: My pick for the last lecture of global history--the single most important change in the world between when i was a college…,42,0,Twitter Web App,2020-12-09 18:01:14
1336732652519493636,@TheManCalledDon Hopefully Arthur Blank's hiring firm takes a close look at those names.,0,0,Twitter Web App,2020-12-09 18:01:14
1336732652519436290,"RT @Nadalchukwu: We are scoring nothing less than 3 goals today.
We are Realmadrid 
We are Gargantuan",7,0,Twitter for Android,2020-12-09 18:01:14
1336732652515287045,well cuz i want dior 👀 https://t.co/4ldtDn3y6A,0,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652502708225,"RT @SciissorBlades: ""Rightio then, i'll be having that"" https://t.co/ninhFhqsDp",48799,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652494344192,ok im done sry,0,0,Twitter Web App,2020-12-09 18:01:14
1336732652485939202,"RT @ceodaegu: guys,,,PLEASE? https://t.co/lEWundfNz6",5429,0,Twitter for Android,2020-12-09 18:01:14
1336732652481732610,RT @MrGee54: Oh shit. The Derriere Detective is here https://t.co/iTjKxooWyK,46,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652473356291,@HoussemAouarrr @CFC_strongray @CFCElIis @KZN22_ Laportes 3rd,0,0,Twitter for Android,2020-12-09 18:01:14
1336732652473348096,"RT @ABAonline: For advice on all the latest aps and games your kids are using, explore #NetAware, a free resource created by @NSPCC and @O2…",5,0,Twitter for Android,2020-12-09 18:01:14
1336732652469067777,@KOT4Q to the bulls for satoransky,0,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652464971777,RT @_DorisIT: It's #Day9 of our #12DaysOfDoris #competition! All you have to do RT this post &amp; FOLLOW us for a chance to enter our raffle a…,768,0,Twitter for Android,2020-12-09 18:01:14
1336732652464955400,If she’s hot and single you need to ask her what kind of crazy she is,0,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652464873472,You feel perfectly poised to be the voice of reason today -- a... More for Cancer https://t.co/l6l7m6c9te,0,0,Twittascope,2020-12-09 18:01:14
1336732652464816129,@gennah_eve I was so confused lol i was like hold up how am I not following her,0,0,Twitter Web App,2020-12-09 18:01:14
1336732652460707841,If anyone speaks to me just because you’re scared I will off myself. Do me a favour and fuck right off.,0,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652456595456,"RT @GRMDAILY: 🎥 Ashley Walters &amp; Kano confirm filming for new season of Top Boy has begun

➡️ https://t.co/VsaiFR4Q5h https://t.co/MgtCXZhv…",482,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652456570891,RT @melanatedmomma: take some time out your day to experience joy in some way,251,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652452405254,its been two months since bly manor.... no im not over them and no i still have NOT moved on yes im still a mess https://t.co/ZiMsdMNjj7,0,0,Twitter for Android,2020-12-09 18:01:14
1336732652452376578,"RT @EPIDEMICpodcast: Sweden puts an end to its COVID-19 experiment.
The country took a fairly hands-off approach since March, but the lates…",1,0,Twitter Web App,2020-12-09 18:01:14
1336732652444004363,RT @Deeva4dlord: Introverts after telling  you you they're on their way https://t.co/R161x49foD,308,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652439801857,RT @MeidasTouch: Looting Loeffler is so mad about this ad she threatened to sue us to take it off the air. Unfortunately for her she only m…,35,0,Twitter for Android,2020-12-09 18:01:14
1336732652439683073,"RT @rishh_Dz: AND IT'S TRENDING 😭😭🥺🥺
DARSHAN HAS  CRAZY TWITTER FAM AND IT'S INDEED 💙😭

#OneMonthOfJudaiyaan
#AlbumByDarshanRaval https://t…",5,0,Twitter for Android,2020-12-09 18:01:14
1336732652435599360,"RT @minecraftsocks: // death shooting

this black trans woman was shot and killed, please donate to this if you can https://t.co/ad4xl6fccG",2326,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652435427329,You seem to rise above the confusion others are experiencing t... More for Libra https://t.co/90nbDnEHxx,0,0,Twittascope,2020-12-09 18:01:14
1336732652431265792,"RT @j_garima_j: I just want to be half as badass as these farmers.
#kisanandolan #RSS https://t.co/axtPQkAfli",1507,0,Twitter for Android,2020-12-09 18:01:14
1336732652427235331,"RT @RuPaulsDragRace: Yup! It's Jaida, the Essence of Beauty 💎 👀  #DragRace https://t.co/Fs89pI53Uj",1172,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652427227140,RT @Variety: Aaron Sorkin: “We’re all scared that everything’s going to change now … and that the films that you and I make will only be se…,9,0,Twitter Web App,2020-12-09 18:01:14
1336732652427223040,@TMikelol @V_Fal_4387_2x its true i have no mic,0,0,Twitter Web App,2020-12-09 18:01:14
1336732652427218944,RT @JohnCena: Find growth in every setback. Find joy in every triumph. Earn each day.,849,0,Twitter for iPhone,2020-12-09 18:01:14
1336732652422885376,RT @ujjwalpareek: When it comes to Bengal we don’t need to do any homework! The glorious saga of Bengal is written in golden words in the p…,189,0,Twitter for Android,2020-12-09 18:01:14
1336732652422844416,RT @SecPompeo: The U.S. condemns the illegitimate Maduro regime’s fraudulent Dec. 6 legislative elections. They do not meet any minimum sta…,6590,0,Twitter for Android,2020-12-09 18:01:14
1336732652418846721,"RT @unkonfined: Don’t promise, just prove.",38,0,Twitter for iPhone,2020-12-09 18:01:14
